Tweet User,Location,Following,Followers,Total Tweets,Tweet,Time of Tweet,Account Created
Jessica55840221,,43,44,117,"The way people are talking about this woman king movie, I think I should go and see it but who’ll be my movie partner biko.. WomanKing womankingmovie movie",2022-09-26 12:28:29+00:00,2022-02-06 09:24:36+00:00
ThatBoy4,"Memphis, TN",533,2552,16523, Would Say Something but my Bluetooth isn't Working. GirlPower Metoo WomanKing WomenRights ,2022-09-26 12:18:45+00:00,2010-01-12 04:46:25+00:00
CeciliaCopeland,New York,2546,2838,18048,WomanKing is sooo good! Its box office success should be zero surprise. ,2022-09-26 11:55:02+00:00,2009-04-09 02:05:01+00:00
4TwinBabies,"Chicago, IL",99,472,6405,"I wish all you Bruhs with all that fire for boycotting""The Woman King"", could re-direct your passion to helping Black Women with sick babies.TheWomanKing WomanKing WomanKingMovie ",2022-09-26 11:49:17+00:00,2012-06-26 20:43:17+00:00
msjustice2,"Pittsburgh, PA",695,1527,20483,how many more of these stunts by Black Celebrity inflated box office earnings for WomanKing How come black celebrity won't get on code🤦🏾‍♀️🤦🏾‍♀️ ,2022-09-26 11:45:31+00:00,2012-02-05 00:42:11+00:00
TexwellTheWiz,Not an official rep of: ,846,2130,35293,From BirthOfANation To WomanKing   HollywoodIsABlackMaleMurderCult BoycottWomanKing BoycottBlackPanther2 BoycottHollywood ReadBooks ReadingIsAnActOfResistance ,2022-09-26 11:18:31+00:00,2013-10-27 21:04:06+00:00
TexwellTheWiz,Not an official rep of: ,846,2130,35293,  From BirthOfANation To WomanKing  HollywoodIsABlackMaleMurderCult BoycottWomanKing BoycottBlackPanther2 BoycottHollywood ReadBooks ReadingIsAnActOfResistance,2022-09-26 11:12:46+00:00,2013-10-27 21:04:06+00:00
TexwellTheWiz,Not an official rep of: ,846,2130,35293,From BirthOfANation To WomanKing  HollywoodIsABlackMaleMurderCult BoycottWomanKing BoycottBlackPanther2 BoycottHollywood ReadBooks ReadingIsAnActOfResistance ,2022-09-26 11:02:41+00:00,2013-10-27 21:04:06+00:00
TexwellTheWiz,Not an official rep of: ,846,2130,35293,  From BirthOfANation To WomanKing  HollywoodIsABlackMaleMurderCult BoycottWomanKing BoycottBlackPanther2 BoycottHollywood ReadBooks ReadingIsAnActOfResistance ,2022-09-26 11:02:09+00:00,2013-10-27 21:04:06+00:00
TheBWSTimes,Greenwood District,136,9137,9814,"My Black people, y’all be blowing me sometimes with this misdirected boycott outrage. I’m talking about this Twitter trend to boycott the new blockbuster film, The Woman King. womanking",2022-09-26 11:00:39+00:00,2016-12-24 16:04:52+00:00
TexwellTheWiz,Not an official rep of: ,846,2130,35293,BoycottWomanKing womankingmovie BoycottSony BoycottTristar Sony Tristar from BirthPfANation to WomanKing HollywoodIsABlackMaleDeathCult,2022-09-26 10:39:07+00:00,2013-10-27 21:04:06+00:00
NoGamesOnNotice,USA  🇺🇸,1646,3576,99901,I guess this can be added to the girlpower these WomanKing slave raid fans adore!BoycottWomanKing BoycottTheWomanKing ,2022-09-26 10:18:29+00:00,2019-04-13 23:37:49+00:00
UYOGAEATS,"Washington, DC",144,8,125, WOMANKING Gratitude + Fall Cleanse Invite! ,2022-09-26 09:55:25+00:00,2022-05-12 12:42:57+00:00
yaakesiwaa,,93,125,3103,     _    _  Love This❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥WomanKing ,2022-09-26 09:51:23+00:00,2021-11-30 17:33:19+00:00
classynogin,"Louisiana, USA",798,388,42307,"If you're Black and wait to see WomanKing at home, you'll feel ashamed you didn't support this film.",2022-09-26 09:33:23+00:00,2009-06-03 17:54:09+00:00
DOEXSignup,,318,724,277,"🥳 WOM will Launch Doex Soon🎁 Share 10,000 WomanKing Join Doex: Crypto cryptocurrency USDT BTC ETH trading  ",2022-09-26 08:47:03+00:00,2021-03-24 16:47:26+00:00
KingDavidFilms,"California, USA",4960,2878,79491,Well deserved WomanKing ,2022-09-26 08:29:02+00:00,2009-09-09 23:40:36+00:00
WestgateMallKe,"Nairobi, Kenya",449,8746,4989,THIS THURSDAY  at WestgateshoppingmallBow down to the most fierce female warriors to ever live!See TheWomanKing Rise exclusively on September 29thGET YOUR TICKETS NOW! violadavis womanking warrior newmovie ,2022-09-26 07:30:16+00:00,2010-03-24 13:51:33+00:00
ChristineRedlin,"Beverly Hills, California",1946,927,7193,Fantastic. Wonderful inspiration ... you are a great talent and a woman of strength! WomanKing Oscars ,2022-09-26 07:28:25+00:00,2011-12-01 21:03:16+00:00
Blvck_Picvsso,,2912,2668,143555,"y’all know when a movie comes out and people say it’s the best thing ever? well the WomanKing lives up to the hype: a epic historical action flick that moves you. The cast is really good (particularly viola davis, lashana lynch &amp; thuso mbedu) ",2022-09-26 07:19:25+00:00,2012-04-27 23:40:20+00:00
SportBlake,,784,6436,1623, needs a lifetime achievement award womanking,2022-09-26 06:48:46+00:00,2013-09-23 13:47:52+00:00
RXRadioUG,,84,2192,5387,WOMAN KING IS OUT TO PROMOTE HOMOSEXUALITY!!!  joins  &amp;  to share his sentiments on the film WomanKing. Happening now on RX RadioAfroMobile-  | iOS-  | Android-  ,2022-09-26 06:15:00+00:00,2020-10-23 07:26:30+00:00
Monsters_101,"Raleigh, North Carolina",1252,2430,48371," _Jersey78 ""and neither will be""Meanwhile, ADOS and others with sense are in the process of tanking WomanKing with a very effective economic boycott. You seem to be out of the loop.",2022-09-26 06:14:31+00:00,2008-12-04 23:53:02+00:00
postemo_avocado,Space(y),85,25,1664,We went to see WomanKing tonight and I need consoling,2022-09-26 06:04:31+00:00,2020-11-14 20:56:45+00:00
tonetalks,"Los Angeles, CA",676,28120,20667,"2) “…when amazons walked out of the palace, they were preceded by a slave girl carrying a bell. The sound told every male to get out of their path, retire a certain distance, &amp; look the other way,”” This is Dahomey not what they showed in womanking where they stopped slaving. ",2022-09-26 06:02:48+00:00,2015-10-08 01:47:41+00:00
tonetalks,"Los Angeles, CA",676,28120,20667,"1) womanking exposed a lack of comprehension among some of our people. These women each held &amp; murdered MEN &amp; WOMEN slaves. “Gezo’s female troops lived in his compound and were kept well supplied with tobacco, alcohol and slaves–as many as 50 to each warrior…” boycottwomanking ",2022-09-26 06:01:16+00:00,2015-10-08 01:47:41+00:00
missnuma,IG @missnuma,1656,23066,30909,ROUNDS OF APPLAUSE AND STANDING OVATION FOR womanking !!! I expect BEST PICTURE BEST DIRECTOR BEST ACTRESS BEST SUPPORTING ALL OF IT! 👏🏿👏🏿👏🏿👏🏿👏🏿   lashanalynch  💥💥💥💥💥💥,2022-09-26 05:18:34+00:00,2009-01-30 09:14:05+00:00
olugbo,🇨🇦🇬🇧🇳🇬,4999,1075,53925,"womanking was amazing. Viola, John, entire cast was 👏🏿. Must-see…Dahomey Oyo OyoEmpire WestAfrica",2022-09-26 05:07:00+00:00,2009-01-26 11:16:09+00:00
ArzolaN,"New York, NY",641,473,3783,One of the most powerful scenes and messages I have seen in a while was the end of woman king.. the second she said Breonna. That's all I'm saying. IFKYK( literally if you don't know you won't get it when you see it)  WOMANKING breonnataylor,2022-09-26 04:41:45+00:00,2012-01-03 04:17:33+00:00
asim_rashad,"Los Angeles, CA",29,97,2117,"Loved The Woman King, I need more. I’m ready for the sequel/prequel already. It made me re-read Children of Blood and Bone by Tomi Adeyemi too, another powerful story that centers badass black women, can’t wait to see that one the big screen as well. WomanKing",2022-09-26 04:22:48+00:00,2014-05-09 03:20:03+00:00
joujou21,,105,83,8611,"It doesn’t erase the past or what the group did, but it definitely tells the story of a side we didn’t know. There’s always two or more sides to a story. Most importantly, I think we need to support black leads. Black women leads. Black women in action movies and more. womanking",2022-09-26 04:17:55+00:00,2009-04-18 22:44:31+00:00
joujou21,,105,83,8611,"I watched womankingmovie womanking featuring  and I’m glad I did. This was a great movie. Regardless of the controversy/criticism surrounding the historical group/kingdom it’s representing, I still think it’s worth checking out.",2022-09-26 04:15:44+00:00,2009-04-18 22:44:31+00:00
YeeTee50,,152,7,890, Just saw WomanKing tonight as well and LOVED it! What an epic film!  did her thing in this film! Bravo! 👏🏾👏🏾👏🏾,2022-09-26 04:06:16+00:00,2022-09-13 20:41:45+00:00
drkaylajokes,"Chicago, IL",140,58,67,Woman king was so good. Cried at the end 🥲WomanKing,2022-09-26 03:58:28+00:00,2020-04-02 16:42:24+00:00
amiahsinterlude,"New York, USA",276,24,1651,movie date with my grandma &lt;33 WomanKing ,2022-09-26 03:55:22+00:00,2019-08-25 02:43:09+00:00
drkaylajokes,"Chicago, IL",140,58,67,To be a good leader you have to see what others do not WomanKing,2022-09-26 03:54:06+00:00,2020-04-02 16:42:24+00:00
Chantallovely7,,346,40,91,Hands down 🙌🏽… Best movies I’ve seen in a while! 5/5… very EMPOWERING! 💜👑violadavis WomanKing sundayvibes movies movie ,2022-09-26 03:46:15+00:00,2022-09-03 15:28:17+00:00
TapHopSeattle,,1963,523,10825,BoycottWomanKing? Nah I wanna see it Big Ups to violadavis well done thewomankingmovie WomanKing haters Will Hate lol ,2022-09-26 03:38:02+00:00,2017-10-14 02:07:05+00:00
Amamissya,"Stanford, CA",375,393,204,You absolutely have to see WomanKing riseup blackwomanmagic,2022-09-26 03:36:41+00:00,2012-08-24 18:28:31+00:00
lifted_truth,where reality meets truth,1672,1566,48518,Just saw the WomanKing …..  might have to write a thread to explain and address some points. Brilliant movie. I have SOOOOO MUCH I want to say ,2022-09-26 03:34:31+00:00,2009-04-23 22:49:49+00:00
SingItPretty,"Albuquerque, NM",1718,1912,11958,"Yes, Yes, Yes! I saw TheWomanKingMovie WomanKing womankingmovie today! Incredible film. ❤️❤️❤️ ",2022-09-26 03:33:59+00:00,2011-09-21 20:19:25+00:00
ItsMzB2u,Home of the Bulls & Bears,1032,507,26667,Woman king was soooo good! WomanKing ,2022-09-26 03:32:09+00:00,2009-07-18 20:32:03+00:00
_Candy_Gram,,168,7,120,"These women empowerment groups and organizations that were created to empower women, are full of mean girls. Most of the meanies are in top ranking or leadership roles. Y'all should be ashamed🤮 BlackTwitter WomanKing",2022-09-26 03:30:28+00:00,2014-02-22 21:31:11+00:00
KeeptCalmGuy,"Atlanta, GA",2050,160,192,"This movie is absolutely AMAZING! Just go see it, history or it’s accuracy aside! It never claimed to be a documentary. Y’all go see movies about flying cars and talking dog, yet have so much negativity when OuR Own put our a stellar Movie! 5/5 stars.WomanKing ",2022-09-26 03:28:58+00:00,2019-05-12 13:09:27+00:00
drkaylajokes,"Chicago, IL",140,58,67,Fear not. Face it head on. Relentlessly we will fight WomanKing,2022-09-26 03:23:27+00:00,2020-04-02 16:42:24+00:00
kzshabazz,global afrika #LetsGetFree,14273,23948,201132, Plot twist: WomanKing,2022-09-26 03:19:15+00:00,2009-07-10 09:57:30+00:00
CulturedModesty,"Georgia, USA",11736,14115,75942,"Really enjoyed watching WomanKing this evening. Definitely some forced monologues at times, but I enjoyed it overall, warts and all.Now, to read some commentary y'all wrote. Blktwitterstorians twitterstorians",2022-09-26 03:16:48+00:00,2009-08-08 17:06:43+00:00
gapmuse,,483,247,2533,Me and my girls at The Woman King movie! You must go see this movie! It’s breathtakingly good!   WomanKing violadavis ,2022-09-26 03:04:51+00:00,2013-03-19 22:00:29+00:00
GariGare27,,707,212,3090,Me and my girls at The Woman King movie! You must go see this movie! It’s breathtakingly good!   WomanKing violadavis ,2022-09-26 03:01:55+00:00,2008-11-06 18:29:21+00:00
divalalake,"Redford, MI",501,194,3501," I haven’t cheered, cried, or felt chills like that in YEARS. Thank you. From the bottom of my heart. Thank you. WomanKing",2022-09-26 03:01:11+00:00,2013-03-21 12:08:18+00:00
CiCiHalzeHarris,"Delaware, USA",1324,364,1045,Has anyone seen WomanKing  should I take my 9 y/o tomorrow?,2022-09-26 02:50:30+00:00,2014-01-06 09:03:20+00:00
MissOrig1nal,"Virginia, USA",888,774,75539,I felt every emotion possible watching WomanKing😭 100/100,2022-09-26 02:45:31+00:00,2010-11-08 02:44:52+00:00
monishabajaj,,4449,3979,13378,The WomanKing — not 100% historically accurate but 100% worth watching. Give  all the Oscars,2022-09-26 02:43:02+00:00,2012-09-26 20:37:41+00:00
movie_charles,United States,1188,2653,38372,"Seeing People call TheWomanKing 's 2nd Weekend Drop, ""Disappointing/Disastrous."" They are lying to you. That is a Great Drop. That is an Excellent Drop. The Woman King is Doing Great at the Box Office. Don't let anyone tell you otherwise. WomanKing ViolaDavis ",2022-09-26 02:41:37+00:00,2017-06-13 22:26:41+00:00
marianaatencio,GoLike ,2358,63669,35711,Recommend seeing 'The Woman King' in the theater. So empowering to know the story of these African Amazons: The Agojie Warriors of Dahomey. StoriesMatter Visibility WomanKing  ,2022-09-26 02:39:51+00:00,2009-02-25 21:49:53+00:00
donna2034,USA,116,151,10421,"1. Wow. I just saw this film. And unlike many people, I was already aware of the history it's loosely based on. I already knew The Fon (people of Dahomey) were huge participants in the Transatlantic slave trade. Still loved it.  WomanKing",2022-09-26 02:38:55+00:00,2009-08-21 11:27:55+00:00
MikenotStrahan,"Hampton, VA",1062,3319,78572,The WomanKing was 10/10  you played that role 🔥🔥🔥🔥🔥,2022-09-26 02:38:53+00:00,2009-05-02 02:52:24+00:00
baebrhamlincoln,Philadelphia ,81,83,886,Viola Davis was VIOLA DAVISON is this WomanKing o-kay 10/10. I was on a whirlwind of emotion,2022-09-26 02:35:56+00:00,2012-06-30 00:24:07+00:00
stay_strong_13,"Rio Rancho, NM",155,190,8408,Viola Davis really just does it every time! WomanKing,2022-09-26 02:32:19+00:00,2011-05-23 03:42:54+00:00
liveyourgenius_,The Bluff City,923,940,20235,The Woman King is a great ass experience african diaspora WomanKing,2022-09-26 02:31:22+00:00,2009-04-11 16:42:37+00:00
TerrillCharming,"Santa Clara, CA",2955,15242,375005,I just saw WomanKing  and was very impressed.,2022-09-26 02:25:59+00:00,2010-04-24 04:44:53+00:00
cynt8292,"ÜT: 32.31166,-90.1994",406,532,3403,MyTribe MySquad GirlTrek 4Dark30 Sistership Fellowship MovieNight WomanKing @ Cinemark Pearl and XD ,2022-09-26 02:15:18+00:00,2009-08-17 04:16:04+00:00
cheeringuy100,"Georgia, USA",1186,2745,84964,Woman King was absolutely incredible! The only other movie that made me feel this good was Top Gun Maverick. 10 out of 10 recommend WomanKing,2022-09-26 02:15:16+00:00,2008-12-27 04:31:35+00:00
Enisahtx,Texas,768,7447,17225,"Y’all WomanKing was phenomenal! The many powerful, beautiful chocolate women on the screen had me like 😍😍😍 ",2022-09-26 02:14:03+00:00,2019-05-13 16:20:01+00:00
drkaylajokes,"Chicago, IL",140,58,67,Fighting is not magic it is skill WomanKing,2022-09-26 02:12:19+00:00,2020-04-02 16:42:24+00:00
SJW_ForAll,Chicago/Texas🌎 & In Your Head,7448,7411,88234,Just watched WomanKing.  I pray my Black sisters will see it so they can reconcile and be reminded of how strong we are and always have been. It lifted my spirit and my soul.  ,2022-09-26 02:07:32+00:00,2010-12-07 17:56:44+00:00
edu_nie,All the places I shouldnt be ,98,8,136,womanking had me emotional,2022-09-26 02:06:48+00:00,2022-01-03 00:06:03+00:00
connor19thought,,2337,178,1725,"If the politics and historical accuracy/ revisionism debates around WomanKing are too much for you, you could always just go watch Zulu. ",2022-09-26 02:05:29+00:00,2022-03-22 23:32:27+00:00
Nellzo,The Himalayas 🛩OH ✈️NC 🛸MIA,605,2277,17810,WomanKing GREAT MOVIE!,2022-09-26 02:05:06+00:00,2009-03-28 23:38:51+00:00
Unapologetic35,Chi town,639,284,5533,Where was the job posting to be a shea butter rubber for  on WomanKing?! 👀,2022-09-26 02:04:53+00:00,2011-09-21 16:20:13+00:00
Mr_9isces,,53,52,1541,Satisfaction!! WomanKing ,2022-09-26 02:03:26+00:00,2021-03-15 20:52:50+00:00
r_osemp,NYC| MTL |🇭🇹|OTT|DFW|☁️,1153,1528,3772,I’m going to watch WomanKing 7x  😊😬,2022-09-26 02:01:50+00:00,2012-11-01 21:55:48+00:00
Pizzachurro,MA,717,207,8055,"WomanKing is such a powerful movie. It's also violent &amp; highlights horrors of the slave trade, among other things, but also shows the resilience, family, and honor of a specific African nation - led by women warriors - caring for their people and themselves",2022-09-26 01:57:02+00:00,2015-02-17 19:29:56+00:00
Pat2034,"Stanford, CA",294,226,3635,    Watched it last weekend and 🥰! WomanKing,2022-09-26 01:54:11+00:00,2011-08-05 15:51:57+00:00
ilovemesumhim81,Somewhere sunny,281,100,14638,They didn’t have to kill Izogie WomanKing ,2022-09-26 01:51:57+00:00,2011-01-17 15:26:47+00:00
kristakue,,25,7,2175,Watched the WomanKing with my family 🥰 Women should always have abs always (it was much deeper than that) but yeah 💜,2022-09-26 01:45:19+00:00,2020-03-12 18:17:46+00:00
itsabookishwrld,,352,415,2528,WomanKing  is freaking phenomenal!!! I was in tears sobbing by the end of the movie,2022-09-26 01:45:17+00:00,2019-05-04 00:57:58+00:00
MrRohena,"Isla Verde, USA",64,30,378,"WomanKing -  NEVER dissapoint, she ALWAYS understand the assignment. ✅ What level of performance! oscarworthy foryourconsiderstion ",2022-09-26 01:45:13+00:00,2018-06-02 03:32:00+00:00
sidballen,,459,2172,16209,WomanKing  was good af. 8.5/10 from me,2022-09-26 01:43:44+00:00,2009-04-13 20:08:47+00:00
swampguppy,"Vancouver, British Columbia",319,43,7482,"WomanKing is such a fantastic film with insane fight scenes, beautiful dialogue, set design, costumes and a cast who can keep up with Mrs. Viola Davis ✨ ",2022-09-26 01:39:31+00:00,2018-12-25 17:06:18+00:00
LahiaYemaneMD,,940,1808,2359,🗣 Go watch the  (you won’t regret it)! Critics: me + : ⭐️⭐️⭐️⭐️⭐️ Fun Fact: The all-woman Dora Milaje in  is based on the real-life Agojie in this movie 🙅🏾‍♀️RepresentationMatters 🌍 ✊🏾✊🏿WomanKing thewomankingmovie  ,2022-09-26 01:38:50+00:00,2020-06-15 00:47:41+00:00
_GOAT_USA,United States,755,539,16143,Most Subscribed Artist 🔥Watch if u haven't ⬇️🎬PakvsEngland Italie PAKvENG RogerFederer Ferrari F1 Federer MPL gay Mexico Brazil Pujols700 SuperBowl HalfTimeShow SBL Bnb Btc NFTs Crypto News NFTGAME GRAMMYs VMAs TUDUM Mtv WomanKing mondaythoughts ,2022-09-26 01:37:53+00:00,2021-06-13 15:22:55+00:00
GrayMattersHDSB,"Ontario, Canada",663,370,1386,Took my daughter to see Woman King this weekend. Such great conversations that followed. If you haven’t yet go see  womankingmovie  WomanKing,2022-09-26 01:36:03+00:00,2017-11-06 02:05:53+00:00
kingbrentley,#wakanda,740,232,51695,Man if you haven’t seen WomanKing you need to go see it. Awesome movie from start to finish &amp; great story,2022-09-26 01:26:32+00:00,2009-08-13 19:18:05+00:00
_notoriousBG,Bham ✈ ATL,584,1681,83272,The Woman King is the movie of the year and  gave us an Oscar winning performance 👏🏾👏🏾 WomanKing,2022-09-26 01:25:30+00:00,2009-05-25 04:13:38+00:00
PurpleFilms88,"Michigan, USA",921,495,48339,LET'S GOOOO!!!!! WomanKing sweep! This is like Academy type shit so cmon now! ,2022-09-26 01:22:51+00:00,2017-06-05 02:00:52+00:00
_LeeSquared,,529,392,75618,WomanKing w/ the ladies,2022-09-26 01:11:50+00:00,2010-04-02 13:04:14+00:00
_Gregorie,"New York, USA",395,383,11333,WomanKing was seriously an amazing movie 🔥,2022-09-26 01:11:46+00:00,2013-04-29 00:21:25+00:00
TrpleD_Flower,Dallas Tx,618,610,49376,WomanKing  was an AMAZING and spiritual journey to watch.,2022-09-26 01:09:15+00:00,2011-02-15 21:34:46+00:00
DniseFullerLCSW,California Licensed,389,349,6780,Must seeeeeee!WomanKing BlackWomen ,2022-09-26 01:06:24+00:00,2012-01-16 17:39:25+00:00
Lemonlime623,"🇧🇷 born, 🇺🇸 bred.",241,102,3473,"I am im-PRESSED with  learning the Portuguese language for WomanKing - it's a hard language with over 4,000 irregular verbs! Not even native speakers are THAT fluent!womankingmovie",2022-09-26 01:06:07+00:00,2009-04-10 16:37:23+00:00
Adjowa_Andobah,the back of your mind ,636,780,10021,I don’t think any characters death has hurt me like this one. Izogie didn’t have to die 😭😭😭😭😭💔💔💔💔. WomanKing,2022-09-26 01:03:29+00:00,2017-07-21 00:00:19+00:00
jaanidiscotech,NYC,458,476,19203,Europeans and Americans propped up the brutal slaver regime in the Dahomey Kingdom. WomanKing DahomeyWarriors ,2022-09-26 01:01:43+00:00,2008-10-24 04:24:01+00:00
FreeDoc13_,404➡️615,2315,3663,83568,I loved the movie! The story. The acting. THE CAST! So Black and Beautiful! I definitely need to see it again.  WomanKing,2022-09-26 00:55:27+00:00,2011-05-17 02:52:38+00:00
_Cordelra_,"Atlanta, GA",1627,1824,20818,So womanking was good but it didn’t really keep my full attention,2022-09-26 00:52:33+00:00,2021-10-14 02:08:16+00:00
truestardotlife,"Chicago, IL",1053,2259,13401,WomanKing  The film that is supposed to depict the real Africa’s Dahomey female warrior tribe is under fire with critics petitioning to boycott the 1 box office film. ✍🏾   ,2022-09-26 00:50:10+00:00,2008-11-22 14:39:46+00:00
Dirty_DianaXO,CT,770,768,31933,WomanKing got me so tight rn 🥺🥺🥺,2022-09-26 00:46:41+00:00,2009-06-18 19:08:03+00:00
PurpleFilms88,"Michigan, USA",921,495,48339,"Okay so somebody has to report on this madness. Yes, I'm still watching Grace Randolph and she just fkking said that both DontWorryDarling and WomanKing box office proves that people think these films are more so streaming movies.....WTF! 😬 am I listening to the wrong person?",2022-09-26 00:44:42+00:00,2017-06-05 02:00:52+00:00
YobruhTheWise,‘lanta,1494,605,15922,I cannot recommend WomanKing enough. It’s THAT good!Also Ouida nation is how you said Judah before “J” had its current day sound.,2022-09-26 00:39:30+00:00,2009-12-05 18:07:51+00:00
theenfared,Alanna ,725,1425,76837, is one of the greatest of ALL TIME!! WomanKing,2022-09-26 00:36:09+00:00,2009-06-29 17:53:30+00:00
PurpleFilms88,"Michigan, USA",921,495,48339,In what world is 42% for WomanKing drop not Great!? I gotta stop watching Grace Randolph but Noone else makes these sorts of videos 😭🤣,2022-09-26 00:32:26+00:00,2017-06-05 02:00:52+00:00
_GenesisCSD5,"Gulfport, MS",386,645,2588,Woman KING definitely 10/10!!!!WomanKing,2022-09-26 00:31:53+00:00,2013-12-25 19:13:07+00:00
theuppitynegro,"Boston, Massachusetts",1658,4090,177856,Can we discuss how King Ghezo was a Sigma and graduated from somebody college and never let go of his graduation stole tho? 😂😂😂 WomanKing ,2022-09-26 00:28:34+00:00,2009-01-15 20:03:02+00:00
MizDeContee,Seattle,419,809,20042,I highly believe Fathiya left a hidden camera in my home! Cuz there’s NO WAY she’s guessing all of my actions accurately😹. 🌸Lemme come get up and put clothes on. MovieDate Besties WomanKing,2022-09-26 00:20:01+00:00,2010-02-10 05:01:04+00:00
JermTheDreamer,,862,200,4083,Woman King that’s the tweet womankingmovie WomanKing,2022-09-26 00:11:31+00:00,2011-07-06 20:59:39+00:00
sillywhome,,86,8,10,Oh  you are just amazing! This cast is amazing! The director is amazing 👏🏾 👏🏾👏🏾 I left the theater feeling so empowered! See WomanKing ,2022-09-26 00:04:58+00:00,2022-04-03 18:21:00+00:00
wakyhaywhy,"Elizabeth, NJ",1175,79,2304,I saw  last night at Village Theater San Diego. I and one other lady are d only black people in d audience. The success of Black Panther also clearly demonstrated audience careless about the casts or story background. They just want to see a good movie!WomanKing,2022-09-26 00:03:17+00:00,2010-12-24 19:51:21+00:00
kweenklarke,"Houston, TX",230,323,4169,just saw WomanKing for a second time. i kinda wanna see it again.🥲,2022-09-26 00:00:59+00:00,2021-01-22 00:18:04+00:00
_putsmeinadayze,ATL 🍑,665,266,18398,I also want to see more of Lashana Lynch. She was brilliant! Izogie felt like my big sister WomanKing,2022-09-25 23:57:00+00:00,2016-03-20 17:46:55+00:00
gomat604,,841,38,312, My Gosh Autumn. WomanKing,2022-09-25 23:56:41+00:00,2014-04-28 01:19:53+00:00
_putsmeinadayze,ATL 🍑,665,266,18398,"WomanKing was so good! I would 100% watch it again in theaters. We need to go up for this like we did for Black Panther. The story is inspiring, beautiful, &amp; just as powerful.",2022-09-25 23:53:57+00:00,2016-03-20 17:46:55+00:00
BUFFY29481257,God'sWorld USA,56,8,324," There's something soo BEAUTIFUL...when a little 11yo black girl discovers her new SUPERHERO...57 yo Mrs Viola Davis!We laughed, we cried, gasped, cheered, embraced, and bonded on the POWER of being beautiful, black WOMEN💗WomanKing violadavisDahomeyWarriors ",2022-09-25 23:46:47+00:00,2018-09-17 02:03:58+00:00
alysha_zhane,,1130,710,14866,EVERYONE NEEDS TO SEE WOMAN KING WomanKing 1000000000/10 highly recommend,2022-09-25 23:46:07+00:00,2014-05-18 22:16:51+00:00
Phenompf,"Massachusetts, USA",151,16,2931,WomanKing was 🔥🔥🔥 go see it!,2022-09-25 23:45:25+00:00,2011-04-03 02:27:30+00:00
MikeJRogers4,"Anne Arundel County, Maryland",202,981,3464,To my mini me and Babygirl screaming Happy National Daughters Day! CurrentSituation GirlDad WomanKing ,2022-09-25 23:41:06+00:00,2017-12-11 14:36:27+00:00
DeDanielle_,Hawaii ,490,1067,22422,"WomanKing was so good! 10/10 … the women empowerment that was displayed, impeccable!!!",2022-09-25 23:40:21+00:00,2014-07-02 02:16:37+00:00
AkeibaFard,U.S,363,162,10606,"""BLACK HEROS ""Yeah its basically the same principles. B1 FBA ADOS WomanKing womenkingboycott ReparationsNow Blackpower ",2022-09-25 23:40:18+00:00,2012-09-27 02:23:24+00:00
jbradford12,"Austin, TX",504,233,2434,Woman King was a fantasic movie and one of the most inspiring films I have seen in a while. Viola Davis killed it! 🔥👏🏾🎥🍿🔥 WomanKing  ViolaDavis womenpower movieticket ,2022-09-25 23:38:42+00:00,2011-10-07 18:05:48+00:00
DOLL_BABIIE90,Minding the business that 💵,642,1066,99774,Finally went to see WomanKing i give it 5 starz ⭐️⭐️⭐️⭐️⭐️,2022-09-25 23:37:33+00:00,2012-03-14 03:06:58+00:00
cheeringuy100,"Georgia, USA",1186,2745,84964,Going to see WomanKing !!!! I’m pumped !!!!!!!!!! 🔥🔥🔥🔥🔥🔥🔥🔥 ,2022-09-25 23:15:18+00:00,2008-12-27 04:31:35+00:00
yaayaawrites,"Durham, NC",169,37,1790,Favorite quote: You are just as beautiful as you are FIERCE WomanKing,2022-09-25 23:13:21+00:00,2014-07-02 15:50:40+00:00
yaayaawrites,"Durham, NC",169,37,1790,What a phenomenal movie! The story line. Characters. The empowerment of women! VIOLA DAVIS. It was truly a treat. WomanKing,2022-09-25 23:13:21+00:00,2014-07-02 15:50:40+00:00
dave_whittier,,578,226,1801,"Just watched The WomanKing. An epic tale.  As usual,  showed incredible depth and nuance, and I thought  owned her own space very well. Lashana Lynch really touched me. The Bechdel score was about 6 bizillion.  Would recommend.",2022-09-25 23:10:27+00:00,2009-10-22 03:44:56+00:00
badjudacodex,,288,67,2243,WomanKing  was 🔥. You don’t want to miss it! WakandaForever,2022-09-25 23:07:55+00:00,2015-03-29 02:02:15+00:00
KeepinUpWithCDJ,Oakland County,1941,4104,61902, Accurate. I just saw it. I'm sitting I'm the car...STUNNED at the awesomeness I just witnessed.  WomanKing,2022-09-25 23:05:22+00:00,2009-02-04 22:43:02+00:00
KeepinUpWithCDJ,Oakland County,1941,4104,61902,  PERIOD.JUST SAW IT. WomanKing ,2022-09-25 23:03:57+00:00,2009-02-04 22:43:02+00:00
ElizabethMWard3,USA,4988,2644,34506,"I loved Woman King! Viola is excellent, but the scene stealers are Thuso Mbedu &amp; Sheila Atim! Brava to the entire cast! WomanKing",2022-09-25 23:03:36+00:00,2017-03-05 13:33:18+00:00
